year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Ashland,39005,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,75,67.8,81.5,52181,40624,0.1826666666666667
2022,OH,Ohio,Ashland,39005,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,21.4,19.5,23.4,52181,40624,0.18224299065420554
2022,OH,Ohio,Ashland,39005,Health Outcomes,OBESITY,Obesity among adults,Obesity,40.5,33.5,47.7,52181,40624,0.35061728395061736
2022,OH,Ohio,Ashtabula,39007,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,9.4,8.4,10.5,97014,76002,0.2234042553191489
2021,OH,Ohio,Ashtabula,39007,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,35.1,31.6,39.1,97014,76002,0.21367521367521367
2022,OH,Ohio,Ashtabula,39007,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,75.5,71.9,78.8,97014,76002,0.09139072847682107
2022,OH,Ohio,Ashtabula,39007,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,21.9,19.7,24.2,97014,76002,0.20547945205479454
2022,OH,Ohio,Ashtabula,39007,Health Outcomes,DEPRESSION,Depression among adults,Depression,27.3,24,30.7,97014,76002,0.24542124542124538
2022,OH,Ohio,Ashtabula,39007,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,12.3,10.8,13.8,97014,76002,0.24390243902439024
2022,OH,Ohio,Ashtabula,39007,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,18.1,16.2,20.2,97014,76002,0.22099447513812154
2022,OH,Ohio,Ashtabula,39007,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,11.3,10.2,12.4,97014,76002,0.19469026548672574
2022,OH,Ohio,Ashtabula,39007,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,27.4,23.9,31,97014,76002,0.25912408759124095
2022,OH,Ohio,Ashtabula,39007,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,74,67,80.2,97014,76002,0.17837837837837842
2022,OH,Ohio,Ashtabula,39007,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,21.8,20,23.7,97014,76002,0.1697247706422018
