fips,county,state_abbr,year_access2,year_bphigh,year_checkup,year_csmoking,year_depression,year_diabetes,year_foodinsecu,year_lacktrpt,year_lpa,year_mammouse,year_mhlth,year_obesity,prevalence_access2,prevalence_bphigh,prevalence_checkup,prevalence_csmoking,prevalence_depression,prevalence_diabetes,prevalence_foodinsecu,prevalence_lacktrpt,prevalence_lpa,prevalence_mammouse,prevalence_mhlth,prevalence_obesity,lower_ci_access2,lower_ci_bphigh,lower_ci_checkup,lower_ci_csmoking,lower_ci_depression,lower_ci_diabetes,lower_ci_foodinsecu,lower_ci_lacktrpt,lower_ci_lpa,lower_ci_mammouse,lower_ci_mhlth,lower_ci_obesity,upper_ci_access2,upper_ci_bphigh,upper_ci_checkup,upper_ci_csmoking,upper_ci_depression,upper_ci_diabetes,upper_ci_foodinsecu,upper_ci_lacktrpt,upper_ci_lpa,upper_ci_mammouse,upper_ci_mhlth,upper_ci_obesity
39025,Clermont,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.6,31.8,76.2,19.2,25.5,10.7,11.2,7.9,25.6,73.9,19.4,40.1,7.6,28.1,72.5,16.9,22.1,9.3,9.9,7.1,22.1,66.3,17.6,34.4,9.7,35.4,79.8,21.5,29.2,12.2,12.5,8.6,29.5,80.6,21.3,46.4
39027,Clinton,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.7,32.9,76.9,22.6,27.9,12,14,9.2,29.3,73.9,22.5,41.6,6.8,29.1,73,20.1,24,10.4,12.4,8.3,24.9,65.7,20.4,34.2,8.6,36.8,80.5,25.3,31.9,13.6,15.8,10.2,33.9,80.8,24.6,49.3
39029,Columbiana,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.3,33.3,76.8,23.3,27.1,12.2,12.8,8.5,28.5,72.2,22.2,47,9.2,29.7,73.1,20.7,23.5,10.6,11.4,7.7,24.5,64.6,20.2,40.6,11.5,37.2,80.2,25.8,30.8,13.8,14.4,9.4,32.6,78.9,24.2,53.2
39031,Coshocton,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.8,33.4,74.5,21.5,28.3,12.4,13.8,9.2,27.4,70.4,21.8,40.5,8.7,29.7,70.4,19,24.5,10.8,12.2,8.3,23.5,61.9,19.8,34,11,37.4,78.1,23.9,32.2,14,15.3,10.1,31.3,77.5,23.8,46.7
39033,Crawford,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9,33.4,75.4,23.6,28,12.4,14.1,9.1,29.3,65.8,22.4,44,8.1,29.6,71.4,20.9,24.2,10.7,12.5,8.2,25.1,56.8,20.4,37.1,10.1,37.3,79.1,26.3,32.1,14.1,15.8,10.1,33.9,73.7,24.6,51.3
39035,Cuyahoga,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.3,32.5,78,17.7,24.2,11.1,19.6,11.8,22.7,78.2,18.9,37.8,6.5,29.8,75.4,16.1,21.9,10,17.9,10.9,20.4,73,17.4,34.3,8.1,35.2,80.4,19.5,26.7,12.4,21.4,12.9,25.2,82.7,20.5,41.4
39037,Darke,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.2,33.9,76,21.5,26.7,11.7,16.6,10.5,26.7,76.2,21.2,40.1,7.3,29.9,72.3,19.2,23.2,10.3,14.8,9.5,22.9,69,19.3,33.5,9.2,38.1,79.5,23.9,30.5,13.4,18.5,11.5,30.8,82.5,23.2,46.9
39039,Defiance,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.5,32.1,75.6,18.4,26.7,11.2,12.6,8.5,25.4,75.7,19.7,42.2,8.4,28.1,71.5,16.2,22.9,9.8,11.2,7.7,21.5,68.2,17.8,34.7,10.6,36.2,79.3,20.6,30.5,12.8,14.2,9.4,29.5,82.3,21.6,49.8
39041,Delaware,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,4.5,28.8,76.5,12.3,21.3,8.9,5.9,4.6,17.7,83.5,16.7,32.2,4,25.8,73.5,10.9,18.9,7.9,5.2,4.2,15.4,78.7,15.2,28.5,5,31.7,79.3,13.8,23.9,10.1,6.6,5.1,20.1,87.5,18.2,36.2
39043,Erie,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.6,31.4,78.3,15.6,25.9,10.5,11.4,7.9,24.2,79.7,17.7,36.7,6.8,28.1,74.9,13.8,22.7,9.3,10.1,7.2,21,73.7,16.1,31.4,8.6,35.1,81.5,17.4,29.5,11.9,12.8,8.8,27.6,85,19.4,42.3
39045,Fairfield,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.3,32.5,76.3,21.1,26.9,11.4,11.3,7.8,27.8,70.7,20.6,39,5.6,28.7,72.6,18.9,23.4,10,10,7.1,24,63.1,18.8,33,7.1,36.4,79.7,23.5,30.5,12.9,12.6,8.6,31.7,77.6,22.5,45.1
39047,Fayette,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.9,34.7,76,23.4,29.3,13,16.9,10.5,30.2,70.2,22.7,40.6,9.6,31,71.7,20.7,25.1,11.3,15.1,9.5,25.7,61.2,20.6,33.5,12.3,38.8,79.7,26.1,33.3,14.8,18.8,11.5,34.5,77.8,24.8,47.6
39049,Franklin,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.3,31.2,76.8,14.6,24.1,11.8,12.7,8.5,23.3,77.8,17.8,36.1,7.4,28.4,74.2,13.1,21.8,10.6,11.5,7.7,20.9,72.6,16.2,32.8,9.2,33.7,79.1,16.1,26.4,13,14.1,9.3,25.6,82.4,19.2,39.4
39051,Fulton,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8,31,75.5,21.2,27.2,11.5,9.8,6.9,29.1,74.3,20.6,42.4,7.1,27.3,71.2,18.7,23.2,9.9,8.7,6.3,24.6,65.8,18.6,34.8,9.1,34.9,79.5,23.9,31.5,13.1,10.9,7.6,33.8,81.4,22.7,50.3
