fips,county,state_abbr,year_access2,year_bphigh,year_checkup,year_csmoking,year_depression,year_diabetes,year_foodinsecu,year_lacktrpt,year_lpa,year_mammouse,year_mhlth,year_obesity,prevalence_access2,prevalence_bphigh,prevalence_checkup,prevalence_csmoking,prevalence_depression,prevalence_diabetes,prevalence_foodinsecu,prevalence_lacktrpt,prevalence_lpa,prevalence_mammouse,prevalence_mhlth,prevalence_obesity,lower_ci_access2,lower_ci_bphigh,lower_ci_checkup,lower_ci_csmoking,lower_ci_depression,lower_ci_diabetes,lower_ci_foodinsecu,lower_ci_lacktrpt,lower_ci_lpa,lower_ci_mammouse,lower_ci_mhlth,lower_ci_obesity,upper_ci_access2,upper_ci_bphigh,upper_ci_checkup,upper_ci_csmoking,upper_ci_depression,upper_ci_diabetes,upper_ci_foodinsecu,upper_ci_lacktrpt,upper_ci_lpa,upper_ci_mammouse,upper_ci_mhlth,upper_ci_obesity
39119,Muskingum,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.1,35.9,77.9,19.6,26.8,11.8,14.5,9.4,27.3,74.6,20.2,41.2,6.3,32.4,74.5,17.5,23.5,10.3,12.8,8.5,23.8,67.3,18.3,36.1,7.9,39.3,80.8,21.7,30,13.2,16,10.3,30.6,80.4,21.9,46
39121,Noble,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.2,34.2,75.2,25.4,27.7,12.7,15.3,10,30.5,72.9,22.4,44.8,7.3,30.2,71.3,22.8,23.9,11.1,13.6,9,26.1,65.1,20.5,37.5,9.2,38.3,79,28.3,31.8,14.5,17.1,11,35.2,80.1,24.4,52.7
39123,Ottawa,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.8,29.5,75,17.4,25.8,10.3,10.9,7.7,23.4,75.7,19.2,41.2,6,25.9,71.1,15.5,22.3,9,9.7,7,19.8,68.3,17.5,34.4,7.6,33.1,78.7,19.6,29.7,11.8,12.2,8.6,27.3,82.3,21.1,48.4
39125,Paulding,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.5,32.3,75.3,22.5,27.7,11.8,12.9,8.5,29.3,74.9,22,39.4,6.7,28.8,71.1,19.9,23.8,10.2,11.6,7.7,24.9,66.9,19.9,31.9,8.4,35.9,79.1,25.2,31.7,13.5,14.3,9.2,33.9,81.8,24,47.5
39127,Perry,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.4,34.4,76.1,23.7,27.5,12,15,9.5,30.4,72.5,22.1,42.9,5.6,30.6,72.1,21,23.8,10.4,13.3,8.6,26.2,64.1,20,36.2,7.2,38.4,79.7,26.4,31.4,13.6,16.9,10.5,34.8,79.6,24.1,49.7
39129,Pickaway,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,11,33,76.3,19.6,27.8,11.2,15,9.8,25.8,70,20.1,42.9,9.8,29.1,72.5,17.3,24.1,9.8,13.4,8.9,22,61.7,18.3,35.9,12.3,37.1,80,21.9,31.8,12.8,16.8,10.8,30,77.5,22.1,50.2
39131,Pike,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,11,35.3,77.6,25.1,31,13.3,18.8,11.7,31.4,69.2,23.4,40.6,9.8,31.4,73.9,22.5,27.1,11.7,16.8,10.6,27.2,61.3,21.4,34.2,12.4,39.2,81,27.7,35.1,15.1,20.9,12.9,35.8,76.7,25.5,47.4
39133,Portage,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.8,31.8,75.7,17.5,26.4,10.6,11.8,8.1,23.2,72.9,19.2,38.5,6,28.3,72.2,15.6,23.2,9.4,10.4,7.3,20,65.5,17.5,33.2,7.6,35.6,79,19.5,30,12.1,13.3,8.9,26.7,79.5,21,44.1
39135,Preble,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.9,32.4,76,21.6,27.8,11.4,12.3,8.3,26.4,73.7,20.8,38.5,6,28.2,71.6,19,23.6,9.8,10.9,7.5,22,64.9,18.8,30.4,7.8,36.5,80,24.3,32.2,13.2,13.7,9.1,30.9,81.1,23,46.5
39137,Putnam,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.3,31.4,76.1,16,25.2,10.1,10.3,6.9,21.7,81.5,18.8,40,8.2,27.9,72.5,14.2,22,8.9,9.1,6.2,18.7,75.7,17.2,34.2,10.4,35,79.7,18.1,28.9,11.6,11.6,7.6,25.3,86.7,20.7,46.7
39139,Richland,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.9,33,76,18.6,27.3,12,17.6,10.9,26,69.3,20.5,39.8,8.8,29.4,72.6,16.6,24.1,10.5,15.9,9.9,22.7,62,18.7,34.7,11,36.3,79.3,20.7,30.8,13.5,19.6,11.9,29.4,76,22.4,45.1
39141,Ross,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.9,33.8,76.9,23.4,28.7,13,17.4,11,29,70.5,22.3,42.2,9.7,30.4,73.7,21.1,25.6,11.5,15.6,10,25.7,63.6,20.4,37.4,12.3,37.3,80,25.9,32.1,14.7,19.1,12,32.7,77,24.3,47.4
39143,Sandusky,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.6,32.4,74.8,21,27,12.1,13.4,8.8,28.5,74.7,20.8,42.2,7.6,28.9,71,18.7,23.4,10.6,11.9,7.9,24.6,67.1,18.9,35.8,9.6,36,78.4,23.5,30.7,13.7,15.1,9.7,32.6,81.3,22.8,48.7
39145,Scioto,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.1,39,76.3,23.6,28.4,12.9,18,11.3,30.6,69,23.2,43.7,9,35.6,72.8,21.1,25,11.4,16.2,10.3,26.8,61.5,21.2,38.3,11.3,42.3,79.5,26.2,31.9,14.5,20,12.5,34.3,75.9,25.2,49.1
39147,Seneca,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8,31.9,77.2,22.4,27.8,12.1,10.9,7.6,28.5,71.7,21.5,47.1,7.1,27.9,73.8,20.1,24.4,10.7,9.7,6.9,24.8,63.9,19.7,41.1,8.8,35.9,80.4,25,31.5,13.7,12.3,8.4,32.5,78.4,23.5,53.2
39149,Shelby,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.4,32.1,75.4,20.3,27.8,11.4,12.4,8.4,25.2,73.9,21.2,37.9,6.6,28.3,71.5,18,24.2,9.9,10.9,7.6,21.6,66.4,19.3,31.3,8.3,36.2,79.3,22.8,31.9,13,13.9,9.3,29.4,81,23.2,45.5
39151,Stark,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.3,33.8,75.5,17,24.4,10.8,13.4,8.6,22.7,71.4,18.5,38.3,7.3,30.5,72,15.1,21.4,9.5,11.9,7.8,19.9,64.5,16.9,33.6,9.3,37.3,78.6,19,27.4,12.2,14.9,9.5,25.7,77.6,20.3,42.9
39153,Summit,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.2,30.7,76.2,17.5,26,11.2,12.8,8.5,23.5,71.6,19.3,39.5,6.5,27.9,73.3,15.8,23.3,10,11.5,7.7,20.9,65.4,17.7,35.5,8.1,33.7,78.8,19.3,28.7,12.5,14.3,9.4,26.2,77,20.9,43.4
39155,Trumbull,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.3,34.6,76.2,24.2,28,12.8,15.3,9.9,30.3,76.7,23.3,44.6,8.2,31.3,72.9,21.9,24.7,11.4,13.8,9,26.7,70.5,21.4,39.3,10.4,38.2,79.4,26.8,31.4,14.3,17.1,10.9,34,82.3,25.3,49.9
39157,Tuscarawas,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.4,33.4,76.7,23.2,25.9,12,13.9,8.8,30,73.5,20.6,43.7,7.5,29.8,73.1,20.8,22.6,10.6,12.3,7.9,26.4,66.7,18.7,38.3,9.4,37.1,79.9,25.6,29.4,13.5,15.5,9.7,33.7,79.8,22.5,49
39159,Union,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,4.2,29.9,77.6,14.4,25.3,8.7,8.9,6.3,20.1,78.9,17.3,37.4,3.7,26,74,12.6,22,7.5,7.8,5.7,17.1,72,15.7,31.7,4.9,33.8,81,16.2,28.9,10,10,7,23.5,84.8,19.1,43.4
39161,Van Wert,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.1,33.1,76,18.9,27.6,10.9,12.1,8,24.7,75.2,20.4,42.3,7.1,29.2,71.9,16.6,23.7,9.5,10.7,7.2,21,67.5,18.5,35.5,9.1,37.4,79.5,21.1,31.4,12.4,13.7,8.9,28.5,81.9,22.3,49
39163,Vinton,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,12.6,37.2,75.3,26.5,30.2,12.8,18.2,11.4,32.5,66.9,24,41.2,11.2,32.8,71.3,23.7,26.2,11.2,16.4,10.4,28.1,58,21.8,33.9,14,41.6,79.2,29.5,34.5,14.6,20.3,12.6,37.5,75.2,26.2,49.2
39165,Warren,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,5,28.8,78.4,13.4,22.6,9.9,7.3,5.5,20.8,79.1,17,34.1,4.5,25.4,74.9,11.8,19.5,8.6,6.5,5,17.7,72.6,15.4,28.4,5.7,32.4,81.6,15.1,26,11.2,8.2,6,24.1,84.6,18.7,40
39167,Washington,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.5,33.6,76.1,21.2,29.1,12,13.1,8.7,27.7,73.3,21,44.7,5.7,30.4,72.7,19,25.8,10.5,11.7,7.9,24.4,66.3,19.2,39.6,7.3,37.1,79.4,23.6,32.7,13.6,14.7,9.6,31.3,79.5,23,49.9
39169,Wayne,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.8,32.4,74.9,19,26.7,10.6,11.8,7.8,24,72.4,20.1,40.1,7.8,28.4,70.9,16.9,23.1,9.2,10.5,7.1,20.5,64.6,18.2,33.9,9.8,36.2,78.5,21.2,30.5,12.1,13.2,8.6,27.8,79.2,21.9,46.7
39171,Williams,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.6,33.3,75.3,20,27.2,11.5,14.8,9.7,26.4,75.6,20.6,41.5,8.5,29.2,71.3,17.7,23.4,10,13.1,8.7,22.5,67.9,18.7,34.3,10.7,37.5,79,22.3,31.1,13,16.6,10.7,30.6,82,22.6,48.7
39173,Wood,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.2,31.4,77.2,15.7,26.1,10.6,10,7,23.5,76.2,19.2,35.7,5.5,28.1,74,14,23,9.4,8.8,6.3,20.5,69.4,17.5,30.7,7,35,80.3,17.7,29.4,12,11.3,7.7,26.8,81.9,20.9,41.1
39175,Wyandot,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.3,30.6,75.6,18,27.4,10.3,9,6.7,25.6,76.3,20,40,6.4,26.8,71.5,15.8,23.5,8.9,7.9,6.1,21.6,68.4,18.1,32.7,8.2,34.7,79.2,20.2,31.1,11.7,10.2,7.4,29.5,82.6,21.8,47
