fips,state,county,population_2020,rucc_2023,rucc_description,metro_status,rurality_3_level,rurality_ordinal
39095,OH,Lucas,431279,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39097,OH,Madison,43824,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39099,OH,Mahoning,228614,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39101,OH,Marion,65359,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39103,OH,Medina,182470,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39105,OH,Meigs,22210,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39107,OH,Mercer,42528,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
39109,OH,Miami,108774,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39111,OH,Monroe,13385,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39113,OH,Montgomery,537309,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39115,OH,Morgan,13802,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39117,OH,Morrow,34950,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39119,OH,Muskingum,86410,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39121,OH,Noble,14115,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
39123,OH,Ottawa,40364,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1
39125,OH,Paulding,18806,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39127,OH,Perry,35408,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39129,OH,Pickaway,58539,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39131,OH,Pike,27088,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
39133,OH,Portage,161791,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39135,OH,Preble,40999,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39137,OH,Putnam,34451,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39139,OH,Richland,124936,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1
39141,OH,Ross,77093,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39143,OH,Sandusky,58896,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39145,OH,Scioto,74008,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39147,OH,Seneca,55069,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39149,OH,Shelby,48230,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39151,OH,Stark,374853,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39153,OH,Summit,540428,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39155,OH,Trumbull,201977,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
